,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,12039,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'us-strategic-crypto-reserve']",21000000.0,19852362.0,19852362.0,False,,1,,,,2025-04-17T02:33:00.000Z,84141.69873620816,28365330789.989166,-0.7643,-0.3051255,0.34006125,2.17229612,0.79757564,-13.81630283,-17.31314679,1670411462606.1467,63.0502,1766975673460.37,,2025-04-17T02:33:00.000Z,,,,,,2025-04-17 08:04:15.236171
1,1027,Ethereum,ETH,ethereum,10134,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'ethereum-pow-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', 'sora-ecosystem', 'rsk-rbtc-ecosystem', 'world-liberty-financial-portfolio', 'us-strategic-crypto-reserve']",,120698109.34014876,120698109.34014876,True,,2,,,,2025-04-17T02:33:00.000Z,1587.1556076178138,15072003496.248407,13.8388,-0.22623313,-0.73276254,-3.29881434,-17.02801672,-41.18569493,-53.08837673,191566681068.08514,7.2307,191566681068.09,,2025-04-17T02:33:00.000Z,,,,,,2025-04-17 08:04:15.236171
2,825,Tether USDt,USDT,tether,124358,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'usd-stablecoin', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'rsk-rbtc-ecosystem', 'world-liberty-financial-portfolio']",,144804996163.49295,148032435825.0521,True,,3,,,,2025-04-17T02:32:00.000Z,1.0002787759790903,58089772952.19299,4.2545,0.04212746,0.04473134,0.07272632,0.0345336,0.00946081,0.04640457,144845364318.0756,5.4672,148073703712.29,,2025-04-17T02:32:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2025-04-17 08:04:15.236171
3,52,XRP,XRP,xrp,1589,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'xrp-ecosystem', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'klaytn-ecosystem', 'made-in-america', 'us-strategic-crypto-reserve']",100000000000.0,58338141684.0,99986253154.0,False,,4,,,,2025-04-17T02:33:00.000Z,2.072510185127678,3406023477.642047,10.7895,-0.55371115,-0.66777618,2.49227948,-10.04603527,-25.52567525,-37.39395034,120906392821.51155,4.5637,207251018512.77,,2025-04-17T02:33:00.000Z,,,,,,2025-04-17 08:04:15.236171
4,1839,BNB,BNB,bnb,2470,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain-ecosystem', 'layer-1', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,140891042.43,140891042.43,False,,5,,,,2025-04-17T02:33:00.000Z,582.8674356801001,1416808587.3512578,5.1332,-0.24140057,0.01253746,0.61532971,-7.62865913,-11.56598921,-18.64897494,82120800611.47029,3.0997,82120800611.47,,2025-04-17T02:33:00.000Z,,,,,,2025-04-17 08:04:15.236171
5,5426,Solana,SOL,solana,898,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'alleged-sec-securities', 'cmc-crypto-awards-2024', 'made-in-america', 'us-strategic-crypto-reserve']",,516404573.36441016,598728997.976584,True,,6,,,,2025-04-17T02:33:00.000Z,130.96488276352758,4385578504.266345,32.9356,-0.96340257,3.37605787,11.60735843,4.48122813,-32.56397679,-38.64912579,67630864409.21946,2.5523,78412473027.13,,2025-04-17T02:33:00.000Z,,,,,,2025-04-17 08:04:15.236171
6,3408,USDC,USDC,usd-coin,27148,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'usd-stablecoin', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'made-in-america', 'world-liberty-financial-portfolio']",,60476601943.81106,60476601943.81106,False,,7,,,,2025-04-17T02:33:00.000Z,0.9999813099480329,9956606639.020916,2.8285,0.01983247,0.00649213,-0.0008954,0.00781652,-0.00050081,0.01068199,60475471632.977936,2.2827,60475471632.98,,2025-04-17T02:33:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2025-04-17 08:04:15.236171
7,1958,TRON,TRX,tron,1164,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'alleged-sec-securities', '2017-2018-alt-season', 'tron20-ecosystem', 'world-liberty-financial-portfolio']",,94952980196.97128,94952975433.33456,True,,8,,,,2025-04-17T02:33:00.000Z,0.244331027758738,698090592.742073,17.0857,-0.88044134,-2.84786358,2.1369691,10.08265411,2.7531639,0.88068529,23199959240.28109,0.8755,23199958076.38,,2025-04-17T02:33:00.000Z,,,,,,2025-04-17 08:04:15.236171
8,74,Dogecoin,DOGE,dogecoin,1203,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'ftx-bankruptcy-estate', 'made-in-america']",,148883956383.70526,148883956383.70526,True,,9,,,,2025-04-17T02:33:00.000Z,0.15564582498758642,793153742.3779528,1.2277,-0.46234533,-0.02321743,-1.41188551,-7.75273951,-42.76346406,-59.85001476,23173166218.757637,0.8747,23173166218.76,,2025-04-17T02:33:00.000Z,,,,,,2025-04-17 08:04:15.236171
9,2010,Cardano,ADA,cardano,1505,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'alleged-sec-securities', '2017-2018-alt-season', 'made-in-america', 'us-strategic-crypto-reserve']",45000000000.0,35287114426.69233,44994927702.53886,False,,10,,,,2025-04-17T02:33:00.000Z,0.6124552801494599,630515700.6403338,-17.3002,-0.46307043,-0.33079809,-1.71303489,-13.73312684,-21.30472445,-45.40952708,21611779551.8659,0.8157,27560487606.73,,2025-04-17T02:33:00.000Z,,,,,,2025-04-17 08:04:15.236171
10,3957,UNUS SED LEO,LEO,unus-sed-leo,59,2019-05-21T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'discount-token', 'payments', 'ethereum-ecosystem', 'kenetic-capital-portfolio', 'alameda-research-portfolio']",,923681434.9,985239504.0,False,,11,,,,2025-04-17T02:33:00.000Z,9.431650123702056,2320632.59780895,18.6132,0.52991719,1.24998701,0.49271059,-1.77669476,-3.74528189,-2.98925739,8711840119.735878,0.3288,9292434289.78,,2025-04-17T02:33:00.000Z,1027.0,Ethereum,ETH,ethereum,0x2af5d2ad76741191d15dfe7bf6ac92d4bd912ca3,2025-04-17 08:04:15.236171
11,1975,Chainlink,LINK,chainlink,1990,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'ethereum-ecosystem', 'substrate', 'polkadot', 'heco-ecosystem', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'terra-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosystem', 'cardano', 'injective-ecosystem', 'bnb-chain-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'celsius-bankruptcy-estate', 'gnosis-chain-ecosystem', 'sora-ecosystem', 'hoo-smart-chain-ecosystem', 'milkomeda-ecosystem', 'energi-ecosystem', 'made-in-america', 'world-liberty-financial-portfolio']",,657099970.4527867,1000000000.0,False,,12,,,,2025-04-17T02:33:00.000Z,12.376393258771106,288286352.8938422,-5.9391,-0.70787565,-0.13911039,-0.51906503,-10.90254533,-34.42665821,-48.08574649,8132527644.650562,0.307,12376393258.77,,2025-04-17T02:33:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2025-04-17 08:04:15.236171
12,5805,Avalanche,AVAX,avalanche,906,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'real-world-assets', 'layer-1', 'made-in-america']",715748719.0,416035338.82110727,452704838.82110727,False,,13,,,,2025-04-17T02:32:00.000Z,18.879446857555397,227697973.01049736,-16.6693,-0.28166276,-0.21594572,3.33701914,1.32501825,-25.37417983,-53.71260487,7854517070.138148,0.2965,13512939903.72,,2025-04-17T02:32:00.000Z,,,,,,2025-04-17 08:04:15.236171
13,11419,Toncoin,TON,toncoin,719,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem', 'cmc-crypto-yearbook-2024-2025']",,2509731348.658803,5127405061.83881,True,,14,,,,2025-04-17T02:33:00.000Z,2.9484110165571926,134877964.6939442,-25.8103,0.19295475,1.47057475,-4.37992123,-13.81252621,-22.34288455,-46.80507462,7399719556.984555,0.2793,15117697570.68,,2025-04-17T02:33:00.000Z,,,,,,2025-04-17 08:04:15.236171
14,512,Stellar,XLM,stellar,701,2014-08-05T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'decentralized-exchange-dex-token', 'smart-contracts', 'hashkey-capital-portfolio', '2017-2018-alt-season', 'made-in-america']",50001806812.0,30833139894.829952,50001786892.81785,False,,15,,,,2025-04-17T02:33:00.000Z,0.23529575190078814,146543616.75809455,-1.8506,-0.80169281,-0.71527161,-0.99942507,-12.46352063,-32.38997445,-52.41651769,7254906835.016201,0.2738,11765212730.23,,2025-04-17T02:33:00.000Z,,,,,,2025-04-17 08:04:15.236171
0,1,Bitcoin,BTC,bitcoin,12039,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'us-strategic-crypto-reserve']",21000000.0,19852362.0,19852362.0,False,,1,,,,2025-04-17T02:37:00.000Z,84087.1625557574,27640296605.00879,-0.9746,-0.40797925,0.27306163,2.1847231,0.76945081,-13.86380525,-17.28829139,1669328790609.7412,63.0548,1765830413670.91,,2025-04-17T02:37:00.000Z,,,,,,2025-04-17 08:07:30.988345
1,1027,Ethereum,ETH,ethereum,10134,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'ethereum-pow-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', 'sora-ecosystem', 'rsk-rbtc-ecosystem', 'world-liberty-financial-portfolio', 'us-strategic-crypto-reserve']",,120698109.34014876,120698109.34014876,True,,2,,,,2025-04-17T02:37:00.000Z,1586.2159568985755,14284642243.214111,13.8123,-0.34566975,-0.73465147,-3.22583711,-17.13475386,-41.22560933,-53.03864111,191453267002.83298,7.2317,191453267002.83,,2025-04-17T02:37:00.000Z,,,,,,2025-04-17 08:07:30.988345
2,825,Tether USDt,USDT,tether,124358,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'usd-stablecoin', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'rsk-rbtc-ecosystem', 'world-liberty-financial-portfolio']",,144804996163.49295,148032435825.0521,True,,3,,,,2025-04-17T02:35:00.000Z,0.9999273870624333,57998681940.02752,4.0021,0.00724626,-6.981e-05,0.02932117,0.01715904,-0.01979908,0.01907381,144794481447.3472,5.4653,148021686755.03,,2025-04-17T02:35:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2025-04-17 08:07:30.988345
